Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Colby Kyle,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Brandon Anderson,25,25,877,140,385,0.364,92,225,0.409,48,160,0.3,115,140,0.821,23,72,95,74,40,5,89,50,443
Tamenang Choh,27,27,850,123,314,0.392,104,249,0.418,19,65,0.292,91,139,0.655,59,161,220,90,19,15,99,55,356
Zach Hunsaker,27,27,886,109,288,0.378,52,110,0.473,57,178,0.32,72,84,0.857,11,82,93,35,41,3,44,66,347
Jaylan Gainey,25,13,493,63,92,0.685,63,92,0.685,0,0,0,22,32,0.688,41,86,127,9,11,54,22,47,148
Joshua Howard,25,18,451,49,121,0.405,33,63,0.524,16,58,0.276,16,25,0.64,33,55,88,12,15,11,21,39,130
Dan Friday,22,1,362,35,99,0.354,29,83,0.349,6,16,0.375,22,35,0.629,7,31,38,21,7,11,36,37,98
Perry Cowan,27,8,501,35,113,0.31,12,38,0.316,23,75,0.307,0,0,0,8,20,28,10,10,2,14,41,93
David Mitchell,27,2,541,31,63,0.492,23,43,0.535,8,20,0.4,21,29,0.724,49,92,141,20,18,11,19,78,91
Matt DeWolf,23,14,274,31,62,0.5,30,59,0.508,1,3,0.333,10,16,0.625,25,39,64,25,12,4,28,24,73
Davis Franks,11,0,39,3,10,0.3,3,10,0.3,0,0,0,2,5,0.4,9,8,17,4,2,1,6,3,8
Jake Shaper,8,0,23,3,8,0.375,1,2,0.5,2,6,0.333,0,1,0,2,6,8,0,1,1,3,3,8
Josh Watts,13,0,69,2,14,0.143,1,1,1,1,13,0.077,2,4,0.5,2,3,5,3,2,0,3,6,7
Carsten Kogelnik,7,0,25,2,5,0.4,0,1,0,2,4,0.5,0,0,0,1,4,5,0,0,0,2,0,6
EJ Perry,2,0,9,0,2,0,0,0,0,0,2,0,1,2,0.5,0,1,1,1,1,0,1,2,1
Chris Knight,29,28,732,186,335,0.555,185,320,0.578,1,15,0.067,57,94,0.606,51,133,184,57,26,35,77,65,430
Aaryn Rai,29,29,815,122,241,0.506,103,184,0.56,19,57,0.333,62,87,0.713,56,131,187,49,22,14,70,72,325
James Foye,29,29,880,95,226,0.42,35,85,0.412,60,141,0.426,30,40,0.75,3,91,94,62,18,5,32,62,280
Taurus Samuels,29,28,844,85,224,0.379,52,105,0.495,33,119,0.277,42,57,0.737,12,67,79,60,19,2,39,65,245
Ian Sistare,29,27,747,63,182,0.346,29,63,0.46,34,119,0.286,44,56,0.786,8,133,141,35,10,3,30,44,204
Trevon Ary-Turner,26,3,510,52,126,0.413,24,50,0.48,28,76,0.368,18,29,0.621,2,32,34,26,6,3,34,50,150
Ian Carter,29,1,351,31,81,0.383,31,71,0.437,0,10,0,21,30,0.7,15,58,73,19,7,8,23,39,83
Wes Slajchert,29,0,505,24,67,0.358,9,20,0.45,15,47,0.319,8,15,0.533,2,54,56,32,15,0,21,42,71
Garrison Wade,27,0,247,22,57,0.386,15,22,0.682,7,35,0.2,3,6,0.5,5,34,39,10,7,0,10,21,54
Demilade Adelekun,9,0,23,6,11,0.545,6,11,0.545,0,0,,0,1,0,3,4,7,2,0,2,1,5,12
Jackson Blaufeld,10,0,23,4,8,0.5,2,3,0.667,2,5,0.4,2,4,0.5,0,3,3,1,0,0,1,0,12
Nathaniel Ogbu,20,0,57,3,10,0.3,2,8,0.25,1,2,0.5,5,9,0.556,3,10,13,5,1,0,2,14,12
Paul Hudson,22,0,90,4,8,0.5,4,7,0.571,0,1,0,1,5,0.2,4,11,15,3,2,2,5,4,9
Jayden Reaves,7,0,10,2,3,0.667,1,1,1,1,2,0.5,0,0,0,0,1,1,3,1,0,0,0,5
Isaac Letoa,2,0,13,1,3,0.333,1,3,0.333,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2
Ben Swett,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Jimmy Boeheim,21,19,642,128,298,0.43,97,193,0.503,31,105,0.295,63,88,0.716,25,93,118,40,15,7,40,30,350
Terrance McBride,27,27,888,128,269,0.476,100,180,0.556,28,89,0.315,58,75,0.773,25,78,103,86,28,3,48,33,342
Josh Warren,27,27,755,82,164,0.5,66,113,0.584,16,51,0.314,48,68,0.706,27,101,128,87,16,21,68,76,228
Bryan Knapp,27,27,724,75,174,0.431,51,118,0.432,24,56,0.429,18,23,0.783,12,51,63,38,18,4,24,51,192
Dean Noll,27,1,470,59,145,0.407,38,81,0.469,21,64,0.328,34,42,0.81,15,49,64,35,29,7,33,54,173
Greg Dolan,22,0,341,37,78,0.474,22,45,0.489,15,33,0.455,16,30,0.533,5,29,34,19,21,4,14,21,105
Kobe Dickson,24,5,377,45,81,0.556,41,70,0.586,4,11,0.364,10,27,0.37,30,44,74,12,9,12,20,52,104
Jordan Jones,14,6,281,35,99,0.354,15,29,0.517,20,70,0.286,12,14,0.857,12,32,44,8,9,2,10,31,102
Riley Voss,26,15,403,35,92,0.38,16,38,0.421,19,54,0.352,0,3,0,8,51,59,40,21,5,19,45,89
Thurston McCarty,21,7,267,24,67,0.358,12,25,0.48,12,42,0.286,11,15,0.733,12,23,35,6,3,8,5,33,71
Marcus Filien,20,0,234,13,34,0.382,9,17,0.529,4,17,0.235,9,12,0.75,11,42,53,4,11,4,9,22,39
Noah Gear,9,1,28,7,9,0.778,7,8,0.875,0,1,0,3,4,0.75,1,3,4,1,0,1,1,4,17
Chaz Mack,7,0,21,1,5,0.2,1,3,0.333,0,2,0,2,6,0.333,0,2,2,1,0,0,2,4,4
Max Samberg,11,0,32,0,1,0,0,1,0,0,0,0,2,2,1,2,4,6,2,0,0,3,4,2
Matt Harshany,7,0,10,0,3,0,0,1,0,0,2,0,0,0,0,1,1,2,1,2,0,1,0,0
Chuks Uzoka,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Smith,30,30,1132,250,580,0.431,188,397,0.474,62,183,0.339,122,150,0.813,13,110,123,134,46,0,89,45,684
Ike Nweke,27,23,609,109,207,0.527,109,207,0.527,0,0,0,42,52,0.808,63,81,144,17,12,11,36,68,260
Jack Forrest,27,5,690,92,244,0.377,54,136,0.397,38,108,0.352,19,31,0.613,7,81,88,17,8,4,31,59,241
Jake Killingsworth,30,30,1006,79,215,0.367,28,60,0.467,51,155,0.329,14,19,0.737,14,148,162,47,23,5,32,42,223
Tai Bibbs,30,30,803,64,184,0.348,40,92,0.435,24,92,0.261,42,64,0.656,12,91,103,24,28,6,25,53,194
Randy Brumant,29,29,721,71,163,0.436,58,112,0.518,13,51,0.255,29,45,0.644,42,117,159,35,20,33,35,76,184
Joseph Smoyer,30,2,307,24,56,0.429,24,53,0.453,0,3,0,17,25,0.68,20,41,61,18,3,28,21,39,65
Maka Ellis,6,0,164,15,48,0.313,10,24,0.417,5,24,0.208,1,2,0.5,3,16,19,5,1,1,7,8,36
Luke Bolster,24,1,278,12,41,0.293,8,17,0.471,4,24,0.167,7,12,0.583,1,23,24,21,9,0,20,26,35
Cameron Shockley-Okeke,13,0,143,10,38,0.263,8,17,0.471,2,21,0.095,3,4,0.75,5,19,24,4,7,2,10,13,25
Eddie Turner III,9,0,92,9,25,0.36,7,18,0.389,2,7,0.286,0,0,0,1,8,9,3,6,1,10,18,20
Emmanuel Onuama,13,0,81,5,11,0.455,5,11,0.455,0,0,0,0,2,0,2,17,19,2,1,1,6,13,10
Asa Shannon,4,0,21,3,5,0.6,2,2,1,1,3,0.333,2,2,1,2,3,5,1,0,1,3,5,9
Jake Klores,10,0,28,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,2,2,0,0,0,1,0,2
Ben Milstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
