Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Jack Forrest,27,5,690,8.9,0.466,0.455,0.443,0.127,214,0.011,0.133,0.071,0.051,0.007,0.006,0.107,0.217,-0.1,0.5,0.4,0.022,-4.1,-3.6,-7.7
Joseph Smoyer,30,2,307,12.1,0.479,0.429,0.054,0.446,78,0.071,0.152,0.11,0.11,0.006,0.1,0.236,0.15,0.1,0.4,0.4,0.058,-6,3.9,-2.1
Asa Shannon,4,0,21,17.2,0.756,0.7,0.6,0.4,9,0.104,0.162,0.132,0.101,0,0.052,0.335,0.22,0,0,0.1,0.12,-0.6,-1.2,-1.8
Jake Klores,10,0,28,1.2,0.5,0.5,0,0,2,0,0.081,0.04,0,0,0,0.333,0.055,0,0,0,-0.017,-8.4,-3.1,-11.5
Ben Milstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-7.1,-0.9,-8
Emmanuel Onuama,13,0,81,2.1,0.418,0.455,0,0.182,11,0.027,0.238,0.13,0.045,0.007,0.014,0.334,0.115,-0.1,0.1,0,-0.016,-10.1,-0.6,-10.6
Maka Ellis,6,0,164,3.5,0.368,0.365,0.5,0.042,35,0.02,0.111,0.064,0.059,0.004,0.007,0.125,0.176,-0.2,0.1,-0.1,-0.035,-6.5,-3.2,-9.7
Eddie Turner III,9,0,92,1.5,0.4,0.4,0.28,0,19,0.012,0.099,0.054,0.063,0.037,0.012,0.286,0.197,-0.2,0.1,-0.1,-0.054,-9.4,0,-9.4
Luke Bolster,24,1,278,2.3,0.375,0.341,0.585,0.293,42,0.004,0.094,0.048,0.133,0.019,0,0.3,0.124,-0.4,0.2,-0.2,-0.026,-7,-1.5,-8.5
Cameron Shockley-Okeke,13,0,143,3.1,0.313,0.289,0.553,0.105,27,0.038,0.151,0.093,0.052,0.028,0.015,0.2,0.18,-0.4,0.2,-0.2,-0.05,-8.4,-0.6,-8.9
